title,current_price,former_price,discount
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,650000,28%
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO HP +Mouse &USB Light For Keyboard,150000,600000,16%
Hp ProBook 11 X360- TOUCH- 256GB SSD/8GB RAM-- Windows 10+  & BAG,220000,590000,21%
"Hp CHROMEBOOK, INTEL CELERON, 4GB RAM,32GB EMMC WINS 10+USB Light For Keyboard",130000,680000,26%
Replacement Universal Touch Screen Writing Stylus Pen-Red,688,2010000,10%
Hp ProBook 11 Inches X360 INTEL CELERON 256GB SSD- 4GB RAM Windows 10 Pro + HP Mouse & Usb Led Light,180000,550000,10%
"Hp 255 G8 AMD ATHLON 3150U 8GB RAM 1TB HDD 15.6"" HD WINS 10 + Mouse",477500,547000,54%
Lenovo Ideapad Intel Celeron 4GB RAM 256 SSD  Wins 10 Pro+ Mouse,298900,800300,37%
Portable 7~15.4 Inch Laptop Stand Also For Tablet Notebook,9999,510000,5%
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD - 8GB RAM -Backlit-Keypad - Touch Windows 11 PRO + PEN,430000,40000,38%
Hp ProBook 11 X360- TOUCH Intel Celeron 512GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,202000,700000,21%
Hp Notebook 15 Intel Pentium 8GB RAM 1TB HDD Win 10 + HP MOUSE,320000,670900,29%
"DELL Dell, CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,64GB SSD,",130000,400000,8%
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,177000,2520000,21%
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,220000,960000,52%
Potable Mobile Laptop & Bed Side Table- 3Layers ,52990,210000,5%
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,180000,560000,17%
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,512GB SSD WIN 11 + Light",290000,200000,18%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Win 10,130000,200000,33%
"Hp Stream 14 Intel Celeron 4GB, 64GB SSD Wins 10 +Bag",165000,201000,35%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,1420000,8%
Lenovo Ideapad Intel Core I3 12GB RAM 1TB HDD Win 11 Pro +Led Lamp For Keyboard,450700,3184,17%
Hp ELITEBOOK X360 1030 G3 8TH GEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,550000,1480000,11%
Msi THIN GAMING 15 INTEL CORE I5-11400H 16GB RAM 512GB SSD RTX 3050 (4GB) RGB BACKLIT WINS 11,1150500,995000,49%
XIAOMI Mi Pad 2 16 Or 64GB Windows 10 OS Tablet,75999,33000,92%
